event,gender,count,percentage
GeoBeer #1,male,1,100
GeoBeer #10,male,3,100
GeoBeer #11,female,1,50
GeoBeer #11,male,1,50
GeoBeer #12,male,2,100
GeoBeer #13,male,3,100
GeoBeer #14,male,3,100
GeoBeer #15,female,1,50
GeoBeer #15,male,1,50
GeoBeer #16,male,3,100
GeoBeer #17,female,1,33.33333333333333
GeoBeer #17,male,2,66.66666666666666
GeoBeer #18,female,1,33.33333333333333
GeoBeer #18,male,2,66.66666666666666
GeoBeer #19,female,2,100
GeoBeer #20,female,1,50
GeoBeer #20,male,1,50
GeoBeer #21,male,2,100
GeoBeer #22,male,3,100
GeoBeer #23,female,3,100
GeoBeer #24,male,3,100
GeoBeer #25,female,1,33.33333333333333
GeoBeer #25,male,2,66.66666666666666
GeoBeer #26,male,3,100
GeoBeer #27,female,1,50
GeoBeer #27,male,1,50
GeoBeer #28,female,1,50
GeoBeer #28,male,1,50
GeoBeer #29,male,2,100
GeoBeer #3,male,2,100
GeoBeer #30,female,1,33.33333333333333
GeoBeer #30,male,2,66.66666666666666
GeoBeer #4,male,2,100
GeoBeer #5,male,1,100
GeoBeer #6,male,4,100
GeoBeer #7,male,2,100
GeoBeer #8,male,4,100
GeoBeer #9,male,3,100
